Year,Semester,Section,Num in Sec,Facultad,Curriculo
2020,1,7,26,5,50014
2020,1,7,27,5,50014
2020,1,7,28,5,50014
2020,1,7,29,9,90001
2020,1,7,30,5,50014
2020,1,7,31,5,50014
2020,1,7,32,5,50014
2020,1,7,33,5,50014
2020,1,7,34,5,50014
2020,1,7,35,9,90001
2020,1,7,36,5,50014
2020,1,7,37,5,50014
2020,1,7,38,59,590001
2020,1,7,39,5,50004
2020,1,7,40,5,50014
2020,1,7,41,5,50014
2020,1,7,42,5,50014
2020,1,7,43,5,50014
2020,1,7,44,5,50014
2020,1,7,45,5,50014
2020,1,7,46,5,50014
2020,1,7,47,5,50014
2020,1,7,48,9,90001
2020,1,7,49,5,50004
2020,1,7,50,5,50014
2020,1,7,51,5,50014
2020,1,7,52,5,50014
2020,1,7,53,5,50004
2020,1,7,54,5,50014
2020,1,7,55,5,50014
2020,1,7,56,5,50014
2020,1,7,57,5,50014
2020,1,7,58,5,50014
2020,1,7,59,5,50014
2020,1,7,60,5,50014
2020,1,7,61,5,50014
2020,1,7,62,5,50014
2020,1,7,63,5,50014
2020,1,7,64,5,50014
2020,1,7,65,5,50014
2020,1,7,66,5,50014
2020,1,7,67,5,50014
2020,1,7,68,5,50014
2020,1,7,69,5,50014
2020,1,7,70,5,50014
2020,1,7,71,5,50004
2020,1,7,72,9,90001
2020,1,7,73,5,50014
2020,1,7,74,5,50014
2020,1,7,75,5,50014
2020,1,7,76,5,50014
2020,1,7,77,5,50014
2020,1,7,78,5,50014
2020,1,7,79,5,50014
2020,1,7,80,5,50004
2020,1,7,81,5,50014
2020,1,7,82,5,50004
2020,1,7,83,5,50014
2020,1,7,84,5,50014
2020,1,7,85,5,50014
2020,1,7,86,5,50014
2020,1,7,87,5,50014
2020,1,7,88,5,50014
2020,1,7,89,5,50014
2020,1,7,90,9,90001
2020,1,7,91,5,50014
2020,1,7,92,5,50014
2020,1,7,93,9,90001
2020,1,7,94,5,50014
2020,1,7,95,5,50014
2020,1,7,96,5,50014
2020,1,7,97,5,50014
2020,1,7,98,5,50014
2020,1,7,99,5,50004
2020,1,7,100,5,50014
2020,1,7,101,5,50014
2020,1,7,102,5,50014
2020,1,7,103,9,90001
2020,1,5,1,5,50004
2020,1,5,2,5,50014
2020,1,5,3,5,50014
2020,1,5,4,5,50014
2020,1,5,5,5,50014
2020,1,5,6,5,50014
2020,1,5,7,9,90001
2020,1,5,8,5,50014
2020,1,5,9,5,50014
2020,1,5,10,5,50014
2020,1,5,11,5,50004
2020,1,5,12,5,50014
2020,1,5,13,5,50004
2020,1,5,14,5,50014
2020,1,5,15,9,90001
2020,1,5,16,5,50014
2020,1,5,17,5,50014
2020,1,5,18,5,50014
2020,1,5,19,5,50014
2020,1,5,20,5,50014
2020,1,5,21,5,50014
2020,1,5,22,5,50014
2020,1,5,23,5,50014
2020,1,5,24,5,50014
2020,1,5,25,5,50014
2020,1,5,26,5,50014
2020,1,5,27,5,50014
2020,1,5,28,5,50014
2020,1,5,29,5,50014
2020,1,5,30,5,50014
2020,1,5,31,5,50014
2020,1,5,32,5,50014
2020,1,5,33,5,50014
2020,1,5,34,5,50014
2020,1,5,35,5,50014
2020,1,5,36,9,90101
2020,1,5,37,5,50014
2020,1,5,38,5,50014
2020,1,5,39,5,50014
2020,1,5,40,5,50014
2020,1,5,41,5,50014
2020,1,5,42,5,50004
2020,1,5,43,5,50014
2020,1,5,44,5,50014
2020,1,5,45,5,50014
2020,1,5,46,5,50014
2020,1,5,47,5,50014
2020,1,5,48,5,50014
2020,1,5,49,5,50014
2020,1,5,50,5,50014
2020,1,5,51,5,50014
2020,1,5,52,5,50014
2020,1,5,53,5,50014
2020,1,5,54,5,50006
2020,1,5,55,5,50014
2020,1,5,56,5,50014
2020,1,5,57,5,50014
2020,1,5,58,9,90001
2020,1,5,59,9,90001
2020,1,5,60,5,50014
2020,1,5,61,5,50014
2020,1,5,62,5,50014
2020,1,5,63,5,50014
2020,1,5,64,5,50014
2020,1,5,65,5,50014
2020,1,5,66,5,50014
2020,1,5,67,5,50014
2020,1,5,68,5,50014
2020,1,5,69,9,90001
2020,1,5,70,5,50014
2020,1,5,71,5,50014
2020,1,5,72,5,50014
2020,1,5,73,5,50014
2020,1,5,74,5,50014
2020,1,5,75,5,50014
2020,1,5,76,5,50014
2020,1,5,77,5,50014
2020,1,5,78,5,50014
2020,1,5,79,5,50004
2020,1,5,80,9,90001
2020,1,5,81,9,90001
2020,1,5,82,9,90001
2020,1,5,83,5,50014
2020,1,5,84,5,50014
2020,1,5,85,5,50014
2020,1,5,86,5,50014
2020,1,5,87,5,50014
2020,1,5,88,5,50014
